code,selectionId,description,category,subcategory,price,weight,dimensions,units,active,tags,notes,imageUrl
HINGE-PANEL-MASTER,pool_fencing_frameless_hinge_panel_master,"Hinge Panel for Master Range Gates",Frameless Pool Fence,Master Hinge Panel,395,,,"ea",true,"hinge,panel,master","Hinge panel sized for Master range gate hardware",
GATE-MASTER-750,pool_fencing_frameless_gate_master_750,"Master Range Gate Hardware - 750mm",Frameless Pool Fence,Master Gate,685,,,"set",true,"gate,master,750mm","Master range gate hardware for 750mm opening",
GATE-MASTER-834,pool_fencing_frameless_gate_master_834,"Master Range Gate Hardware - 834mm",Frameless Pool Fence,Master Gate,715,,,"set",true,"gate,master,834mm","Master range gate hardware for 834mm opening",
GATE-MASTER-890,pool_fencing_frameless_gate_master_890,"Master Range Gate Hardware - 890mm",Frameless Pool Fence,Master Gate,745,,,"set",true,"gate,master,890mm","Master range gate hardware for 890mm opening",
GATE-MASTER-1000,pool_fencing_frameless_gate_master_1000,"Master Range Gate Hardware - 1000mm",Frameless Pool Fence,Master Gate,795,,,"set",true,"gate,master,1000mm","Master range gate hardware for 1000mm opening",
HINGE-MASTER-G2G,pool_fencing_frameless_hinge_master_g2g,"Master Range Glass-to-Glass Hinge Set",Frameless Pool Fence,Master Hinges,285,,,"set",true,"hinge,master,g2g","Master range hinges for glass-to-glass mounting",
HINGE-MASTER-G2W,pool_fencing_frameless_hinge_master_g2w,"Master Range Glass-to-Wall Hinge Set",Frameless Pool Fence,Master Hinges,285,,,"set",true,"hinge,master,g2w","Master range hinges for glass-to-wall mounting",
LATCH-G2G,pool_fencing_frameless_latch_glass_to_glass,"Glass-to-Glass Latch",Frameless Pool Fence,Glass Latch,165,,,"ea",true,"latch,g2g","Glass-to-glass magnetic latch",
LATCH-G2W,pool_fencing_frameless_latch_glass_to_wall,"Glass-to-Wall Latch",Frameless Pool Fence,Glass Latch,175,,,"ea",true,"latch,g2w","Glass-to-wall/post magnetic latch",
HINGE-PANEL-POLARIS,pool_fencing_frameless_hinge_panel_polaris,"Hinge Panel for Polaris Gates",Frameless Pool Fence,Soft Close Hinge Panel,425,,,"ea",true,"hinge,panel,polaris","Hinge panel sized for Polaris gate hardware",
GATE-POLARIS-800,pool_fencing_frameless_gate_polaris_800,"Polaris Soft Close Gate Hardware - 800mm",Frameless Pool Fence,Soft Close Gate,875,,,"set",true,"gate,polaris,800mm","Polaris soft close gate hardware for 800mm opening",
GATE-POLARIS-900,pool_fencing_frameless_gate_polaris_900,"Polaris Soft Close Gate Hardware - 900mm",Frameless Pool Fence,Soft Close Gate,925,,,"set",true,"gate,polaris,900mm","Polaris soft close gate hardware for 900mm opening",
HINGE-POLARIS-G2G,pool_fencing_frameless_hinge_polaris_g2g,"Polaris Soft Close Glass-to-Glass Hinge Set",Frameless Pool Fence,Soft Close Hinges,395,,,"set",true,"hinge,polaris,g2g","Polaris soft close hinges for glass-to-glass",
HINGE-POLARIS-W2G,pool_fencing_frameless_hinge_polaris_w2g,"Polaris Soft Close Wall-to-Glass Hinge Set",Frameless Pool Fence,Soft Close Hinges,395,,,"set",true,"hinge,polaris,w2g","Polaris soft close hinges for wall-to-glass",

GLASS-12MM-CHANNEL,pool_fencing_channel_glass_12mm_standard,"12mm Glass Panel - Channel System",Channel Pool Fence,Glass Panels Standard,420,,,"sqm",true,"glass,channel,12mm","12mm glass for channel mounting system",
GLASS-15MM-CHANNEL,pool_fencing_channel_glass_15mm_standard,"15mm Glass Panel - Channel System",Channel Pool Fence,Glass Panels Standard,485,,,"sqm",true,"glass,channel,15mm","15mm glass for channel mounting system",
GLASS-CHANNEL-RAKED-1400,pool_fencing_channel_raked_1400mm,"Raked Glass Panel - 1400mm (Channel)",Channel Pool Fence,Glass Panels Raked,545,,,"ea",true,"glass,channel,raked,1400mm","Channel system raked panel 1400mm height",
GLASS-CHANNEL-RAKED-1500,pool_fencing_channel_raked_1500mm,"Raked Glass Panel - 1500mm (Channel)",Channel Pool Fence,Glass Panels Raked,575,,,"ea",true,"glass,channel,raked,1500mm","Channel system raked panel 1500mm height",
GLASS-CHANNEL-RAKED-1600,pool_fencing_channel_raked_1600mm,"Raked Glass Panel - 1600mm (Channel)",Channel Pool Fence,Glass Panels Raked,605,,,"ea",true,"glass,channel,raked,1600mm","Channel system raked panel 1600mm height",
GLASS-CHANNEL-RAKED-1700,pool_fencing_channel_raked_1700mm,"Raked Glass Panel - 1700mm (Channel)",Channel Pool Fence,Glass Panels Raked,635,,,"ea",true,"glass,channel,raked,1700mm","Channel system raked panel 1700mm height",
GLASS-CHANNEL-RAKED-1800,pool_fencing_channel_raked_1800mm,"Raked Glass Panel - 1800mm (Channel)",Channel Pool Fence,Glass Panels Raked,665,,,"ea",true,"glass,channel,raked,1800mm","Channel system raked panel 1800mm height",
CHANNEL-WALL-12MM,pool_fencing_channel_extrusion_wall_12mm,"12mm Glass Channel - Wall Mounted",Channel Pool Fence,Channel Extrusion,95,,,"lm",true,"channel,wall,12mm","Wall mounted channel for 12mm glass",
CHANNEL-WALL-15MM,pool_fencing_channel_extrusion_wall_15mm,"15mm Glass Channel - Wall Mounted",Channel Pool Fence,Channel Extrusion,105,,,"lm",true,"channel,wall,15mm","Wall mounted channel for 15mm glass",
CHANNEL-GROUND-12MM,pool_fencing_channel_extrusion_ground_12mm,"12mm Glass Channel - Ground Mounted",Channel Pool Fence,Channel Extrusion,98,,,"lm",true,"channel,ground,12mm","Ground mounted channel for 12mm glass",
CHANNEL-GROUND-15MM,pool_fencing_channel_extrusion_ground_15mm,"15mm Glass Channel - Ground Mounted",Channel Pool Fence,Channel Extrusion,108,,,"lm",true,"channel,ground,15mm","Ground mounted channel for 15mm glass",
CHANNEL-CLAMP-12MM,pool_fencing_channel_clamp_12mm,"12mm Channel Clamp",Channel Pool Fence,Cahnnel Clamps 12mm,12,,,"ea",true,"channel,clamp,12mm","Channel clamp for 12mm glass panels",

TUBULAR-PANEL-1200-2450-BLK,pool_fencing_flat_top_panel_1200_2450_black,"Tubular Panel 1200mm x 2450mm - Black",Flat Top Pool Fence,Flat Top Panels,385,,,"ea",true,"tubular,1200mm,2450mm,black,pool","Tubular Flat Top pool panel 1200mm x 2450mm, black",
TUBULAR-PANEL-1200-2450-WHT,pool_fencing_flat_top_panel_1200_2450_white,"Tubular Panel 1200mm x 2450mm - White",Flat Top Pool Fence,Flat Top Panels,385,,,"ea",true,"tubular,1200mm,2450mm,white,pool","Tubular Flat Top pool panel 1200mm x 2450mm, white",
TUBULAR-PANEL-1200-2450-MON,pool_fencing_flat_top_panel_1200_2450_monument,"Tubular Panel 1200mm x 2450mm - Monument",Flat Top Pool Fence,Flat Top Panels,395,,,"ea",true,"tubular,1200mm,2450mm,monument,pool","Tubular Flat Top pool panel 1200mm x 2450mm, monument",
TUBULAR-PANEL-1200-3000-BLK,pool_fencing_flat_top_panel_1200_3000_black,"Tubular Panel 1200mm x 3000mm - Black",Flat Top Pool Fence,Flat Top Panels,445,,,"ea",true,"tubular,1200mm,3000mm,black,pool","Tubular Flat Top pool panel 1200mm x 3000mm, black",
TUBULAR-PANEL-1200-3000-WHT,pool_fencing_flat_top_panel_1200_3000_white,"Tubular Panel 1200mm x 3000mm - White",Flat Top Pool Fence,Flat Top Panels,445,,,"ea",true,"tubular,1200mm,3000mm,white,pool","Tubular Flat Top pool panel 1200mm x 3000mm, white",
TUBULAR-PANEL-1200-3000-MON,pool_fencing_flat_top_panel_1200_3000_monument,"Tubular Panel 1200mm x 3000mm - Monument",Flat Top Pool Fence,Flat Top Panels,455,,,"ea",true,"tubular,1200mm,3000mm,monument,pool","Tubular Flat Top pool panel 1200mm x 3000mm, monument",
TUBULAR-POST-50MM-WBP-BLK,pool_fencing_flat_top_post_welded_black,"Tubular 50mm Post - Welded Base Plate - Black",Flat Top Pool Fence,Flat Top Posts,142,,,"ea",true,"tubular,post,50mm,welded,black","Tubular 50mm post with welded base plate, black",
TUBULAR-POST-50MM-WBP-WHT,pool_fencing_flat_top_post_welded_white,"Tubular 50mm Post - Welded Base Plate - White",Flat Top Pool Fence,Flat Top Posts,142,,,"ea",true,"tubular,post,50mm,welded,white","Tubular 50mm post with welded base plate, white",
TUBULAR-POST-50MM-WBP-MON,pool_fencing_flat_top_post_welded_monument,"Tubular 50mm Post - Welded Base Plate - Monument",Flat Top Pool Fence,Flat Top Posts,148,,,"ea",true,"tubular,post,50mm,welded,monument","Tubular 50mm post with welded base plate, monument",
TUBULAR-GATE-1000-BLK,pool_fencing_flat_top_gate_1000_black,"Tubular Flat Top Gate 1000mm - Black",Flat Top Pool Fence,Flat Top Gates,595,,,"ea",true,"tubular,gate,1000mm,black","Tubular flat top gate 1000mm, black",
TUBULAR-GATE-1000-WHT,pool_fencing_flat_top_gate_1000_white,"Tubular Flat Top Gate 1000mm - White",Flat Top Pool Fence,Flat Top Gates,595,,,"ea",true,"tubular,gate,1000mm,white","Tubular flat top gate 1000mm, white",
TUBULAR-GATE-1000-MON,pool_fencing_flat_top_gate_1000_monument,"Tubular Flat Top Gate 1000mm - Monument",Flat Top Pool Fence,Flat Top Gates,615,,,"ea",true,"tubular,gate,1000mm,monument","Tubular flat top gate 1000mm, monument",
TUBULAR-SHROUD-BLK,pool_fencing_flat_top_shroud_black,"Tubular Post Shroud - Black",Flat Top Pool Fence,Flat Top Shrouds,38,,,"ea",true,"tubular,shroud,black","Tubular post shroud, black",
TUBULAR-SHROUD-WHT,pool_fencing_flat_top_shroud_white,"Tubular Post Shroud - White",Flat Top Pool Fence,Flat Top Shrouds,38,,,"ea",true,"tubular,shroud,white","Tubular post shroud, white",
TUBULAR-SHROUD-MON,pool_fencing_flat_top_shroud_monument,"Tubular Post Shroud - Monument",Flat Top Pool Fence,Flat Top Shrouds,42,,,"ea",true,"tubular,shroud,monument","Tubular post shroud, monument",

BARR-PANEL-1200-SB,pool_fencing_barr_panel_1200_satin_black,"BARR Panel 1200mm - Satin Black (2205mm width)",Barr Pool Fence,Barr Pool  Panels,425,,,"ea",true,"barr,1200mm,satin-black,pool","BARR pool panel 1200mm height, satin black, 2205mm width",
BARR-PANEL-1200-PW,pool_fencing_barr_panel_1200_pearl_white,"BARR Panel 1200mm - Pearl White (2205mm width)",Barr Pool Fence,Barr Pool  Panels,425,,,"ea",true,"barr,1200mm,pearl-white,pool","BARR pool panel 1200mm height, pearl white, 2205mm width",
BARR-POST-50X25-WBP-SB,pool_fencing_barr_post_50x25_welded_satin_black,"BARR 50x25mm Post - Welded Base Plate - Satin Black",Barr Pool Fence,Barr Pool  Posts,115,,,"ea",true,"barr,post,50x25mm,welded,satin-black","BARR 50x25mm pool post with welded base plate, satin black",
BARR-POST-50X25-WBP-PW,pool_fencing_barr_post_50x25_welded_pearl_white,"BARR 50x25mm Post - Welded Base Plate - Pearl White",Barr Pool Fence,Barr Pool  Posts,115,,,"ea",true,"barr,post,50x25mm,welded,pearl-white","BARR 50x25mm pool post with welded base plate, pearl white",
BARR-GATE-1000-SB,pool_fencing_barr_gate_1000_satin_black,"BARR Gate 1000mm - Satin Black",Barr Pool Fence,Barr Pool  Gates,575,,,"ea",true,"barr,gate,1000mm,satin-black","BARR pool gate 1000mm, satin black",
BARR-GATE-1000-PW,pool_fencing_barr_gate_1000_pearl_white,"BARR Gate 1000mm - Pearl White",Barr Pool Fence,Barr Pool  Gates,575,,,"ea",true,"barr,gate,1000mm,pearl-white","BARR pool gate 1000mm, pearl white",
BARR-SHROUD-SB,pool_fencing_barr_shroud_satin_black,"BARR Post Shroud - Satin Black",Barr Pool Fence,Barr Pool  Shrouds,35,,,"ea",true,"barr,shroud,satin-black","BARR post shroud, satin black",
BARR-SHROUD-PW,pool_fencing_barr_shroud_pearl_white,"BARR Post Shroud - Pearl White",Barr Pool Fence,Barr Pool  Shrouds,35,,,"ea",true,"barr,shroud,pearl-white","BARR post shroud, pearl white",

BLADE-PANEL-1000-SB,pool_fencing_blade_panel_1000_satin_black,"Blade Panel 1000mm - Satin Black (1700mm width)",Blade Pool Fence,Blade Pool  Panels,365,,,"ea",true,"blade,1000mm,satin-black,pool","Blade pool panel 1000mm height, satin black, 1700mm width",
BLADE-PANEL-1000-PW,pool_fencing_blade_panel_1000_pearl_white,"Blade Panel 1000mm - Pearl White (1700mm width)",Blade Pool Fence,Blade Pool  Panels,365,,,"ea",true,"blade,1000mm,pearl-white,pool","Blade pool panel 1000mm height, pearl white, 1700mm width",
BLADE-PANEL-1200-SB,pool_fencing_blade_panel_1200_satin_black,"Blade Panel 1200mm - Satin Black (2200mm width)",Blade Pool Fence,Blade Pool  Panels,455,,,"ea",true,"blade,1200mm,satin-black,pool","Blade pool panel 1200mm height, satin black, 2200mm width",
BLADE-PANEL-1200-PW,pool_fencing_blade_panel_1200_pearl_white,"Blade Panel 1200mm - Pearl White (2200mm width)",Blade Pool Fence,Blade Pool  Panels,455,,,"ea",true,"blade,1200mm,pearl-white,pool","Blade pool panel 1200mm height, pearl white, 2200mm width",
BLADE-POST-50X50-WBP-SB,pool_fencing_blade_post_50x50_welded_satin_black,"Blade 50x50mm Post - Welded Base Plate - Satin Black",Blade Pool Fence,Blade Pool  Posts,135,,,"ea",true,"blade,post,50x50mm,welded,satin-black","Blade 50x50mm post with welded base plate, satin black",
BLADE-POST-50X50-WBP-PW,pool_fencing_blade_post_50x50_welded_pearl_white,"Blade 50x50mm Post - Welded Base Plate - Pearl White",Blade Pool Fence,Blade Pool  Posts,135,,,"ea",true,"blade,post,50x50mm,welded,pearl-white","Blade 50x50mm post with welded base plate, pearl white",
BLADE-GATE-1000-SB,pool_fencing_blade_gate_1000_satin_black,"Blade Gate 1000mm - Satin Black",Blade Pool Fence,Blade Pool  Gates,585,,,"ea",true,"blade,gate,1000mm,satin-black","Blade pool gate 1000mm, satin black",
BLADE-GATE-1000-PW,pool_fencing_blade_gate_1000_pearl_white,"Blade Gate 1000mm - Pearl White",Blade Pool Fence,Blade Pool  Gates,585,,,"ea",true,"blade,gate,1000mm,pearl-white","Blade pool gate 1000mm, pearl white",
BLADE-SHROUD-SB,pool_fencing_blade_shroud_satin_black,"Blade Post Shroud - Satin Black",Blade Pool Fence,Blade Pool  Shrouds,42,,,"ea",true,"blade,shroud,satin-black","Blade post shroud, satin black",
BLADE-SHROUD-PW,pool_fencing_blade_shroud_pearl_white,"Blade Post Shroud - Pearl White",Blade Pool Fence,Blade Pool  Shrouds,42,,,"ea",true,"blade,shroud,pearl-white","Blade post shroud, pearl white",

GLASS-12MM-BAL,balustrade_frameless_glass_12mm_970,"12mm Toughened Glass Panel - Balustrade (970mm height)",Frameless Balustrade,12mm Glass Balustrade Panels 970,420,,,"sqm",true,"glass,balustrade,12mm","12mm toughened glass for balustrades, 970mm height, widths 300-1500mm",
GLASS-15MM-BAL,balustrade_frameless_glass_15mm_1000,"15mm Toughened Glass Panel - Balustrade (1000mm height)",Frameless Balustrade,15mm Glass Balustrade 1000,485,,,"sqm",true,"glass,balustrade,15mm","15mm toughened glass for balustrades, 1000mm height, widths 300-1400mm",
SPIGOT-BAL-12MM-POL,balustrade_frameless_spigot_12mm_polished,"12mm Balustrade Spigot - Polished",Frameless Balustrade,12mm Balustrade Spigots,62,,,"ea",true,"spigot,balustrade,12mm,polished","12mm balustrade spigot, polished finish",
SPIGOT-BAL-12MM-SAT,balustrade_frameless_spigot_12mm_satin,"12mm Balustrade Spigot - Satin",Frameless Balustrade,12mm Balustrade Spigots,58,,,"ea",true,"spigot,balustrade,12mm,satin","12mm balustrade spigot, satin finish",
SPIGOT-BAL-12MM-BLK,balustrade_frameless_spigot_12mm_black,"12mm Balustrade Spigot - Black",Frameless Balustrade,12mm Balustrade Spigots,65,,,"ea",true,"spigot,balustrade,12mm,black","12mm balustrade spigot, black finish",
SPIGOT-BAL-12MM-WHT,balustrade_frameless_spigot_12mm_white,"12mm Balustrade Spigot - White",Frameless Balustrade,12mm Balustrade Spigots,65,,,"ea",true,"spigot,balustrade,12mm,white","12mm balustrade spigot, white finish",
SPIGOT-BAL-15MM-POL,balustrade_frameless_spigot_15mm_polished,"15mm Balustrade Spigot - Polished",Frameless Balustrade,15mm Balustrade Spigots,68,,,"ea",true,"spigot,balustrade,15mm,polished","15mm balustrade spigot, polished finish",
SPIGOT-BAL-15MM-SAT,balustrade_frameless_spigot_15mm_satin,"15mm Balustrade Spigot - Satin",Frameless Balustrade,15mm Balustrade Spigots,64,,,"ea",true,"spigot,balustrade,15mm,satin","15mm balustrade spigot, satin finish",
SPIGOT-BAL-15MM-BLK,balustrade_frameless_spigot_15mm_black,"15mm Balustrade Spigot - Black",Frameless Balustrade,15mm Balustrade Spigots,71,,,"ea",true,"spigot,balustrade,15mm,black","15mm balustrade spigot, black finish",
SPIGOT-BAL-15MM-WHT,balustrade_frameless_spigot_15mm_white,"15mm Balustrade Spigot - White",Frameless Balustrade,15mm Balustrade Spigots,71,,,"ea",true,"spigot,balustrade,15mm,white","15mm balustrade spigot, white finish",
RAIL-NONO-25X21-SS-POL,balustrade_frameless_rail_25x21_ss_polished,"25x21mm NonoRail - Stainless Steel Polished (12mm glass only)",Frameless Balustrade,Top Mounted Rail 25x21,165,,,"lm",true,"rail,nonorail,stainless,polished","25x21mm NonoRail for 12mm glass, stainless steel polished",
RAIL-NONO-25X21-SS-SAT,balustrade_frameless_rail_25x21_ss_satin,"25x21mm NonoRail - Stainless Steel Satin (12mm glass only)",Frameless Balustrade,Top Mounted Rail 25x21,158,,,"lm",true,"rail,nonorail,stainless,satin","25x21mm NonoRail for 12mm glass, stainless steel satin",
RAIL-NONO-25X21-AL-BLK,balustrade_frameless_rail_25x21_al_black,"25x21mm NonoRail - Anodised Aluminium Black (12mm glass only)",Frameless Balustrade,Top Mounted Rail 25x21,135,,,"lm",true,"rail,nonorail,aluminium,black","25x21mm NonoRail for 12mm glass, anodised aluminium black",
RAIL-NONO-25X21-AL-WHT,balustrade_frameless_rail_25x21_al_white,"25x21mm NonoRail - Anodised Aluminium White (12mm glass only)",Frameless Balustrade,Top Mounted Rail 25x21,135,,,"lm",true,"rail,nonorail,aluminium,white","25x21mm NonoRail for 12mm glass, anodised aluminium white",
RAIL-NANO-30X21-SS-POL,balustrade_frameless_rail_30x21_ss_polished,"30x21mm NanoRail - Stainless Steel Polished",Frameless Balustrade,Top Mounted Rail 30x21,172,,,"lm",true,"rail,nanorail,stainless,polished","30x21mm NanoRail universal, stainless steel polished",
RAIL-NANO-30X21-SS-SAT,balustrade_frameless_rail_30x21_ss_satin,"30x21mm NanoRail - Stainless Steel Satin",Frameless Balustrade,Top Mounted Rail 30x21,165,,,"lm",true,"rail,nanorail,stainless,satin","30x21mm NanoRail universal, stainless steel satin",
RAIL-NANO-30X21-AL-BLK,balustrade_frameless_rail_30x21_al_black,"30x21mm NanoRail - Anodised Aluminium Black",Frameless Balustrade,Top Mounted Rail 30x21,142,,,"lm",true,"rail,nanorail,aluminium,black","30x21mm NanoRail universal, anodised aluminium black",
RAIL-NANO-30X21-AL-WHT,balustrade_frameless_rail_30x21_al_white,"30x21mm NanoRail - Anodised Aluminium White",Frameless Balustrade,Top Mounted Rail 30x21,142,,,"lm",true,"rail,nanorail,aluminium,white","30x21mm NanoRail universal, anodised aluminium white",
RAIL-S35-35X35-SS-POL,balustrade_frameless_rail_35_series_ss_polished,"35x35mm Series 35 Rail - Stainless Steel Polished",Frameless Balustrade,Top Mounted Rail 35 Series,185,,,"lm",true,"rail,series35,stainless,polished","35x35mm Series 35 universal, stainless steel polished",
RAIL-S35-35X35-SS-SAT,balustrade_frameless_rail_35_series_ss_satin,"35x35mm Series 35 Rail - Stainless Steel Satin",Frameless Balustrade,Top Mounted Rail 35 Series,178,,,"lm",true,"rail,series35,stainless,satin","35x35mm Series 35 universal, stainless steel satin",
RAIL-S35-35X35-AL-BLK,balustrade_frameless_rail_35_series_al_black,"35x35mm Series 35 Rail - Anodised Aluminium Black",Frameless Balustrade,Top Mounted Rail 35 Series,152,,,"lm",true,"rail,series35,aluminium,black","35x35mm Series 35 universal, anodised aluminium black",
RAIL-S35-35X35-AL-WHT,balustrade_frameless_rail_35_series_al_white,"35x35mm Series 35 Rail - Anodised Aluminium White",Frameless Balustrade,Top Mounted Rail 35 Series,152,,,"lm",true,"rail,series35,aluminium,white","35x35mm Series 35 universal, anodised aluminium white",

GLASS-12MM-CHANNEL-BAL,balustrade_channel_glass_12mm_970,"12mm Glass Balustrade Panel - Channel System (970mm)",Channel Balustrade,12mm Glass Balustrade Panels 970,420,,,"sqm",true,"glass,channel,balustrade,12mm","12mm glass for channel balustrade, 970mm height",
GLASS-15MM-CHANNEL-BAL,balustrade_channel_glass_15mm_1000,"15mm Glass Balustrade Panel - Channel System (1000mm)",Channel Balustrade,15mm Glass Balustrade 1000,485,,,"sqm",true,"glass,channel,balustrade,15mm","15mm glass for channel balustrade, 1000mm height",
CHANNEL-BAL-EXTRUSION,balustrade_channel_extrusion,"Channel Extrusion - Balustrade",Channel Balustrade,Channel Extrusion,105,,,"lm",true,"channel,balustrade,extrusion","Channel extrusion for balustrade mounting",
CHANNEL-CLAMP-12MM-BAL,balustrade_channel_clamp_12mm,"12mm Channel Clamp - Balustrade",Channel Balustrade,Channel Clamps 12mm,12,,,"ea",true,"channel,clamp,12mm,balustrade","12mm channel clamp for balustrade",
CHANNEL-CLAMP-15MM-BAL,balustrade_channel_clamp_15mm,"15mm Channel Clamp - Balustrade",Channel Balustrade,Channel Clamps 15mm,14,,,"ea",true,"channel,clamp,15mm,balustrade","15mm channel clamp for balustrade",

GLASS-15MM-STANDOFF,balustrade_standoff_glass_15mm,"15mm Toughened Glass Panel - Standoff System (1000mm height)",Standoff Balustrade,15mm Glass Standoff Balustrade Panels,485,,,"sqm",true,"glass,standoff,15mm","15mm toughened glass for standoff balustrades, 1000mm height, widths 400-1200mm",
STANDOFF-50MM-POL,balustrade_standoff_pin_50mm_polished,"50mm Polished Stainless Steel Standoff",Standoff Balustrade,Stanoff Pins,78,,,"ea",true,"standoff,polished,50mm","50mm diameter polished standoff",
STANDOFF-50MM-SAT,balustrade_standoff_pin_50mm_satin,"50mm Satin Stainless Steel Standoff",Standoff Balustrade,Stanoff Pins,72,,,"ea",true,"standoff,satin,50mm","50mm diameter satin standoff",
STANDOFF-50MM-BLK,balustrade_standoff_pin_50mm_black,"50mm Black Stainless Steel Standoff",Standoff Balustrade,Stanoff Pins,82,,,"ea",true,"standoff,black,50mm","50mm diameter black standoff",
STANDOFF-50MM-WHT,balustrade_standoff_pin_50mm_white,"50mm White Stainless Steel Standoff",Standoff Balustrade,Stanoff Pins,82,,,"ea",true,"standoff,white,50mm","50mm diameter white standoff",

BLADE-BAL-PANEL-1000-SB,balustrade_blade_panel_1000_satin_black,"Blade Balustrade Panel 1000mm - Satin Black",Blade Balustrade,Blade Balustrade Panels,355,,,"ea",true,"blade,balustrade,1000mm,satin-black","Blade balustrade panel 1000mm, satin black",
BLADE-BAL-PANEL-1000-PW,balustrade_blade_panel_1000_pearl_white,"Blade Balustrade Panel 1000mm - Pearl White",Blade Balustrade,Blade Balustrade Panels,355,,,"ea",true,"blade,balustrade,1000mm,pearl-white","Blade balustrade panel 1000mm, pearl white",
BLADE-BAL-POST-50X50-SB,balustrade_blade_post_50x50_satin_black,"Blade Balustrade Post 50x50mm - Satin Black",Blade Balustrade,Blade Balustrade Posts,125,,,"ea",true,"blade,balustrade,post,satin-black","Blade balustrade post 50x50mm, satin black",
BLADE-BAL-POST-50X50-PW,balustrade_blade_post_50x50_pearl_white,"Blade Balustrade Post 50x50mm - Pearl White",Blade Balustrade,Blade Balustrade Posts,125,,,"ea",true,"blade,balustrade,post,pearl-white","Blade balustrade post 50x50mm, pearl white",
BLADE-BAL-GATE-1000-SB,balustrade_blade_gate_1000_satin_black,"Blade Balustrade Gate 1000mm - Satin Black",Blade Balustrade,Blade Balustrade Gates,525,,,"ea",true,"blade,balustrade,gate,satin-black","Blade balustrade gate 1000mm, satin black",
