code,description,category,subcategory,price,active
FBL-SPIG12,Spigot 12mm,Frameless Balustrade,Spigots 12mm,38.00,1
FBL-SPIG15,Spigot 15mm,Frameless Balustrade,Spigots 15mm,42.00,1
FBL-HR25,Handrail 25x21mm 3m,Frameless Balustrade,Handrail 25x21,95.00,1
FBL-HR35,Handrail 35 Series 3m,Frameless Balustrade,Handrail 35 Series,125.00,1
FBL-HRACC,Handrail End Cap,Frameless Balustrade,Handrail Accessories,18.00,1
CBL-GP,Glass Panel Standard,Channel Balustrade,Glass Panels,215.00,1
CBL-GP12-970,Glass Panel 12mm 970mm High,Channel Balustrade,Glass Panels 12mm 970,220.00,1
CBL-GP15-1000,Glass Panel 15mm 1000mm High,Channel Balustrade,Glass Panels 15mm 1000,280.00,1
CBL-CHAN,Channel 3m,Channel Balustrade,Channel,78.00,1
CBL-CLAMP,Channel Clamp,Channel Balustrade,Channel Clamps,11.00,1
CBL-CHACC,Channel Connector,Channel Balustrade,Channel Accessories,15.00,1
CBL-HR25,Handrail 25x21mm 3m,Channel Balustrade,Handrail 25x21,95.00,1
CBL-HR35,Handrail 35 Series 3m,Channel Balustrade,Handrail 35 Series,125.00,1
CBL-HRACC,Handrail Bracket,Channel Balustrade,Handrail Accessories,22.00,1
SBL-GP15-1280,Glass Panel 15mm 1280mm High,Standoff Balustrade,Glass Panels 15mm 1280,295.00,1
SBL-STOFF,Standoff 50mm,Standoff Balustrade,Standoffs,32.00,1
SBL-STACC,Standoff Base Plate,Standoff Balustrade,Standoff Accessories,18.00,1
SBL-HR25,Handrail 25x21mm 3m,Standoff Balustrade,Handrail 25x21,95.00,1
SBL-HR35,Handrail 35 Series 3m,Standoff Balustrade,Handrail 35 Series,125.00,1
SBL-HRACC,Handrail Elbow,Standoff Balustrade,Handrail Accessories,35.00,1
BF18-P1800,BARR Panel 1800mm High,BARR Fencing 1800,Barr Panels 1800,275.00,1
BF18-POST,BARR Post 2400mm,BARR Fencing 1800,Barr Posts,135.00,1
BF18-GATE,BARR Gate 1800mm High,BARR Fencing 1800,Barr Gates 1800,485.00,1
BF18-SHROUD,BARR Post Shroud,BARR Fencing 1800,Barr Shrouds,48.00,1
BF18-ACC,BARR Top Rail,BARR Fencing 1800,Barr Accessories,65.00,1
BF18-HINGE,BARR Heavy Duty Hinge,BARR Fencing 1800,Barr Hinges,95.00,1
BF18-LATCH,BARR Security Latch,BARR Fencing 1800,Barr Latches,125.00,1
BLF18-P1800,Blade Panel 1800mm High,Blade Fencing 1800,Blade Panels 1800,295.00,1
BLF18-POST,Blade Post 2400mm,Blade Fencing 1800,Blade Posts,145.00,1
BLF18-GATE,Blade Gate 1800mm High,Blade Fencing 1800,Blade Gates,515.00,1
BLF18-SHROUD,Blade Post Shroud,Blade Fencing 1800,Blade Shrouds,52.00,1
BLF18-ACC,Blade Top Rail,Blade Fencing 1800,Blade Accessories,72.00,1
BLF18-HINGE,Blade Heavy Duty Hinge,Blade Fencing 1800,Blade Hinges,105.00,1
BLF18-LATCH,Blade Security Latch,Blade Fencing 1800,Blade Latches,135.00,1
ZSF-PANEL,Zeus Steel Panel 1800mm,Zeus Steel Fencing,Zeus Steel Panels,425.00,1
ZSF-POST,Zeus Steel Post 2400mm,Zeus Steel Fencing,Zeus Steel Posts,185.00,1
ZSF-GATE,Zeus Steel Gate 1000mm,Zeus Steel Fencing,Zeus Steel Gates,565.00,1
ZSF-SHROUD,Zeus Steel Post Shroud,Zeus Steel Fencing,Zeus Steel Shrouds,58.00,1
ZSF-HINGE,Zeus Gate Hinge,Zeus Steel Fencing,Zeus Hinges,115.00,1
ZSF-LATCH,Zeus Gate Latch,Zeus Steel Fencing,Zeus Latches,145.00,1
ZSF-ACC,Zeus Mounting Plate,Zeus Steel Fencing,Zeus Accessories,45.00,1
ZAF-PANEL,Zeus Aluminium Panel 1800mm,Zeus Aluminium Fencing,Zeus Aluminium Panels,385.00,1
ZAF-POST,Zeus Aluminium Post 2400mm,Zeus Aluminium Fencing,Zeus Aluminium Posts,165.00,1
ZAF-GATE,Zeus Aluminium Gate 1000mm,Zeus Aluminium Fencing,Zeus Aluminium Gates,525.00,1
ZAF-SHROUD,Zeus Aluminium Post Shroud,Zeus Aluminium Fencing,Zeus Aluminium Shrouds,55.00,1
ZAF-HINGE,Zeus Gate Hinge,Zeus Aluminium Fencing,Zeus Hinges,115.00,1
ZAF-LATCH,Zeus Gate Latch,Zeus Aluminium Fencing,Zeus Latches,145.00,1
ZAF-ACC,Zeus Corner Bracket,Zeus Aluminium Fencing,Zeus Accessories,42.00,1
