sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
AR-1500-FMID-B,"BARR face-mount mid post, 1500mm long in matt black aluminium with welded 150x150mm 10mm plate — cut to height on site (max 1350mm per engineering), top plate included",Posts,,,,,,TRUE,side mount post mid post,,,70.2,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1500-FMID-B.JPG,
AR-1500-FMID-MN,"Face-mount mid post, 1500mm long in monument matt aluminium with welded 150x150mm 10mm plate — cut to height on site (max 1350mm per engineering), top plate included.",Posts,,,,,,,,,,73.7,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1500-FMID-MN.JPG,
AR-1500-FMLR-B-2PK,"Premium Perf face-mount end posts in satin black aluminium — 1500mm long left + right pair with offset 160x150mm plates for absolute end-of-run installs, max 1350mm per engineering.",Posts,,,,,,TRUE,side mount post l&r pack,,,151.1,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1500-FMLR-B-2PK.JPG,
AR-1500-FMLR-MN-2PK,AIRE 1500mm long 50 x 50 x 4mm END posts (L + R) with welded 160 x 150mm face-mount plates in Monument finish; sold as a 2-pack for the start and end of a fascia-mounted run.,Posts,,,,,,,,,,151.1,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1500-FMLR-MN-2PK.JPG,
AR-5800-FP-B,"AIRE 5800mm long 50 x 50 x 3.2mm full post in Black finish; structural post for core-drilled or fascia-fixed AIRE balustrade installations, cut to required length on site.",Posts,,,,,,,,,,164.65,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-5800-FP-B.JPG,
AR-5800-FP-MN,"AIRE 5800mm long 50 x 50 x 3.2mm full post in Monument finish; structural post for core-drilled or fascia-fixed AIRE balustrade installations, cut to required length on site.",Posts,,,,,,,,,,164.65,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-5800-FP-MN.JPG,
XP-1800-FP-B,Xpress 50mm 1800mm tubular pool-fence post in satin black — standard (no base-plate) post for core-drilled installs (with XP-DR-B dress ring) or wall-fixed runs.,Posts,,,,,,,,,,38.75,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-2400-FP-B.JPG,
XP-1800-FP-MN,Xpress 50mm 1800mm tubular pool-fence post in Monument — standard (no base-plate) post for core-drilled installs (with XP-DR-MN dress ring) or wall-fixed runs.,Posts,,,,,,,,,,38.75,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-2400-FP-MN.JPG,
XP-DC-2P-B,"Premium Perf 2-part domical cover in matt black aluminium — 106x106mm outer / 52x52mm inner, fits over 100x100mm welded base plate, can be fitted after install.",Posts,,,,,,,,,,7.7,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-DC-2P-B.JPG,
XP-DC-2P-MN,"Premium Perf 2-part domical cover in Monument matt aluminium — 106x106mm outer / 52x52mm inner, fits over 100x100mm welded base plate.",Posts,,,,,,,,,,7.7,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-DC-2P-MN.JPG,
XP-DR-B,"Premium Perf 50 x 50mm post dress ring in matt black aluminium — 100x100mm outer / 52x52mm inner, sits over a core-drilled post to conceal the core hole.",Posts,,,,,,TRUE,dress ring used for core drilled posts,,,3.05,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-DR-B.JPG,
XP-DR-MN,"Premium Perf 50 x 50mm post dress ring in Monument matt aluminium — 100x100mm outer / 52x52mm inner, sits over a core-drilled post.",Posts,,,,,,,,,,5.25,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-DR-MN.JPG,
A50-5800-OHR-B,"AIRE 5800mm long oval handrail with undercapping rail in Black finish; oval-profile top rail for the AIRE balustrade system, hides spacers and baluster tops.",Top Rail,,,,,,,,,,121.4,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-5800-OHR-B.JPG,
A50-5800-OHR-MN,"AIRE 5800mm long oval handrail with undercapping rail in Monument finish; oval-profile top rail for the AIRE balustrade system, hides spacers and baluster tops.",Top Rail,,,,,,,,,,121.4,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-5800-OHR-MN.JPG,
A50-5800-RHR-B,"AIRE 5800mm long rectangular handrail with undercapping rail in Black finish; top rail for the AIRE balustrade system, hides spacers and baluster tops.",Top Rail,,,,,,,,,,141.41,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-5800-RHR-B.JPG,
A50-5800-RHR-MN,"AIRE 5800mm long rectangular handrail with undercapping rail in Monument finish; top rail for the AIRE balustrade system, hides spacers and baluster tops.",Top Rail,,,,,,,,,,141.41,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-5800-RHR-MN.JPG,
A50-BRACKET-O-B-2PK,"Premium Perf oval handrail offset bracket pair in satin black die-cast aluminium — 1 left + 1 right, suits 75x30mm oval handrail.",Top Rail,,,,,,,,,,7.55,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-BRACKET-O-B-2PK.JPG,
A50-BRACKET-O-MN-2PK,"Premium Perf oval handrail offset bracket pair in Monument matt die-cast aluminium — 1 left + 1 right, suits 75x30mm oval handrail.",Top Rail,,,,,,,,,,7.55,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-BRACKET-O-MN-2PK.JPG,
A50-BRACKET-R-B-2PK,"Premium Perf rectangular handrail offset bracket pair in satin black die-cast aluminium — 1 left + 1 right, suits 75x30mm rectangular handrail.",Top Rail,,,,,,,,,,7.55,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-BRACKET-R-B-2PK.JPG,
A50-BRACKET-R-MN-2PK,"Premium Perf rectangular handrail offset bracket pair in Monument matt die-cast aluminium — 1 left + 1 right, suits 75x30mm rectangular handrail.",Top Rail,,,,,,,,,,7.55,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-BRACKET-R-MN-2PK.JPG,
A50-ECA-O-B,Premium Perf oval handrail end cap in satin black die-cast aluminium — suits 75x30mm oval handrail (A50-5800-OHR-B).,Top Rail,,,,,,,,,,3,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-ECA-O-B.JPG,
A50-ECA-O-MN,Premium Perf oval handrail end cap in Monument matt die-cast aluminium — suits 75x30mm oval handrail (A50-5800-OHR-MN).,Top Rail,,,,,,,,,,3,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-ECA-O-MN.JPG,
A50-ECA-R-B,Premium Perf rectangular handrail end cap in satin black die-cast aluminium — suits 75x30mm rectangular handrail (A50-5800-RHR-B).,Top Rail,,,,,,,,,,3,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-ECA-R-B.JPG,
A50-ECA-R-MN,Premium Perf rectangular handrail end cap in Monument matt die-cast aluminium — suits 75x30mm rectangular handrail (A50-5800-RHR-MN).,Top Rail,,,,,,,,,,3,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-ECA-R-MN.JPG,
A50-WP-B,"Premium Perf handrail wall plate in satin black aluminium — suits oval and rectangular handrails, gives slimline wall termination.",Top Rail,,,,,,,,,,12.6,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-WP-B.JPG,
A50-WP-MN,"Premium Perf handrail wall plate in Monument matt aluminium — suits oval and rectangular handrails, gives slimline wall termination.",Top Rail,,,,,,,,,,12.6,balustrade-metal-premium-perf-top-rail,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-WP-MN.JPG,
