sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
SOLAR-LIGHT-2PK,"Solar LED lights for pool fence rails and stair edges, 2-pack — dusk-to-dawn auto-on lighting for pool surrounds and outdoor stairways.",Hinges & Latches,,,,,,,,,,10.6,pool-fencing-metal-blade-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SOLAR-LIGHT-2PK.JPG,
SS-GS,D&D gate stop — stainless steel stop bracket that prevents a gate over-swinging into the latch and protects the latch alignment.,Hinges & Latches,,,,,,,,,,15,pool-fencing-metal-blade-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SS-GS.JPG,
TC-H-AT-2L-B,D&D TruClose® Adjustable Tension hinge with 2 alignment legs in BLACK — hinge pair.,Hinges & Latches,,,,,,,,,,45.71,pool-fencing-metal-blade-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-2L-B.JPG,
TC-H-AT-B,D&D TruClose® Adjustable Tension hinge NO LEGS in BLACK — hinge set.,Hinges & Latches,,,,,,,,,,44.85,pool-fencing-metal-blade-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-B.JPG,
TC-H-AT-HD-2L-B,D&D TruClose® HEAVY DUTY Adjustable hinge with 2 alignment legs in BLACK — hinge set.,Hinges & Latches,,,,,,,,,,62.55,pool-fencing-metal-blade-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-HD-2L-B.JPG,
TC-H-AT-HD-B,D&D TruClose® HEAVY DUTY hinge with 1 alignment leg in BLACK — hinge set.,Hinges & Latches,,,,,,,,,,62.55,pool-fencing-metal-blade-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-HD-B.JPG,
BLA-PNL-2200-1200-B,"Blade pool fence panel, 2200mm wide x 1200mm high, in matt black aluminium blade construction.",Blade Panels,,,,,,,,,,272.95,pool-fencing-metal-blade-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BLA-PNL-2200-1200-B.JPG,
BLA-TCA-B,Blade 50 x 16 x 4mm aluminium top cap in matt black — CNC-finished replacement cap for 1000H boundary panel pickets.,Blade Panels,,,,,,,,,,3.45,pool-fencing-metal-blade-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BLA-TCA-B.JPG,
BLA-TCP-B,"Blade 50 x 16mm plastic top cap in matt black, finishes the top of a Blade post.",Blade Panels,,,,,,,,,,0.95,pool-fencing-metal-blade-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BLA-tcp-b.JPG,
FF-BH-OPEN-4PK-B,"FastFit open bracket 40 x 40mm in matt black, attaches Blade balustrade panels to posts, sold as 4-pack with 13 tek screws.",Post Brackets,,,,,,TRUE,panel brackets 4 pack,,,16.65,pool-fencing-metal-blade-post-brackets,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ff-bh-open-4pk-b.JPG,
SS-1300-BP-B,Premium Perf 1300mm long 50 x 50mm post with welded 135 x 100mm base plate in Black finish; surface-mount post for slab / paver pool fence installs.,Posts,Base Plated,,,,,TRUE,base plated post,,,39.11,pool-fencing-metal-blade-posts-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SS-1300-BP-B.JPG,
SS-1600-BP-B,Six Star 1600mm tubular post with welded base-plate in satin black — taller surface-mount post for the high side of raked runs; pair with domical cover (SS-DC-B).,Posts,Base Plated,,,,,FALSE,,,,44.85,pool-fencing-metal-blade-posts-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SS-1600-BP-B.JPG,
XP-BP-SET-B,"Premium Perf 50 x 50mm screw-on base plate set in Black finish, includes 4× 12G x 50mm CSK screws; converts an XP full post to base-plated / fascia-mount.",Posts,Base Plated,,,,,,,,,16.56,pool-fencing-metal-blade-posts-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-BP-SET-B.JPG,
SS-1800-B,Six Star 1800mm tubular pool-fence post in satin black — standard (no base-plate) post for core-drilled installs (with XP-DR-B dress ring) or wall-fixed runs.,Posts,Core,,,,,TRUE,core drill and inground posts,,,29.9,pool-fencing-metal-blade-posts-core,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SS-1800-B.JPG,
SS-2100-B,Six Star 2100mm tubular pool-fence post in satin black — taller standard post for core-drilled installs (with XP-DR-B dress ring) or wall-fixed runs.,Posts,Core,,,,,,,,,36.8,pool-fencing-metal-blade-posts-core,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SS-2100-B.JPG,
XP-2400-FP-B,Xpress 50mm 2400mm tubular pool-fence post in satin black — long standard (no base-plate) post for core-drilled installs (with XP-DR-B dress ring) or wall-fixed runs.,Posts,Core,,,,,FALSE,,,,58.5,pool-fencing-metal-blade-posts-core,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-2400-FP-B.JPG,
XP-6000-FP-B,"Blade 50 x 50mm heavy-duty full post, 6000mm long in matt black aluminium with 3mm internal ribs — cut to length on site, top plate sold separately.",Posts,Core,,,,,,,,,121.9,pool-fencing-metal-blade-posts-core,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-6000-FP-B.JPG,
SS-DC-B,Six Star tubular two-piece domical post cover in satin black — clips around a base-plated post to conceal fixings; can be fitted last over the post.,Posts,Domical Cover,,,,,TRUE,domical cover for base plated post,,,7.21,pool-fencing-metal-blade-posts-domical-cover,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SS-DC-B.JPG,
XP-DC-2P-B,"Premium Perf 2-part domical cover in matt black aluminium — 106x106mm outer / 52x52mm inner, fits over 100x100mm welded base plate, can be fitted after install.",Posts,Domical Cover,,,,,,,,,7.7,pool-fencing-metal-blade-posts-domical-cover,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-DC-2P-B.JPG,
XP-DR-B,"Premium Perf 50 x 50mm post dress ring in matt black aluminium — 100x100mm outer / 52x52mm inner, sits over a core-drilled post to conceal the core hole.",Posts,Dress Ring,,,,,TRUE,dress ring used for core drilled posts,,,3.05,pool-fencing-metal-blade-posts-dress-ring,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/XP-DR-B.JPG,
XP-TP-B,Premium Perf 50 x 50mm post flat top plate in Black finish; press-in cap for XP full posts. 2400mm posts include this free; only buy extras / for 6000mm posts.,Posts,Post Cap,,,,,,,,,5.25,pool-fencing-metal-blade-posts-post-cap,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/xp-tp-B.JPG,
AR-1500-FMID-B,"BARR face-mount mid post, 1500mm long in matt black aluminium with welded 150x150mm 10mm plate — cut to height on site (max 1350mm per engineering), top plate included",Posts,Side Mounted,,,,,TRUE,side mount post mid post,,,70.2,pool-fencing-metal-blade-posts-side-mounted,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1500-FMID-B.JPG,
AR-1500-FMLR-B-2PK,"Premium Perf face-mount end posts in satin black aluminium — 1500mm long left + right pair with offset 160x150mm plates for absolute end-of-run installs, max 1350mm per engineering.",Posts,Side Mounted,,,,,TRUE,side mount post l&r pack,,,151.1,pool-fencing-metal-blade-posts-side-mounted,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1500-FMLR-B-2PK.JPG,
COVER-POWER,Polycarbonate clear cover for an outdoor power point inside the pool zone — keeps the GPO accessible but shielded from splash and direct rain.,Tools & Accessories,Accessories,,,,,FALSE,,,,29.55,pool-fencing-metal-blade-tools-and-accessories-accessories,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/COVER-POWER.JPG,
COVER-TAP,Polycarbonate clear cover for an outdoor garden tap inside the pool zone — protects the tap and prevents the handle being used as a climb point on a pool fence.,Tools & Accessories,Accessories,,,,,FALSE,,,,46.9,pool-fencing-metal-blade-tools-and-accessories-accessories,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/COVER-TAP.JPG,
CPR,Standard CPR sign for pool/spa areas — meets state pool-safety signage requirements when displayed near the pool.,Tools & Accessories,Accessories,,,,,FALSE,,,,45.71,pool-fencing-metal-blade-tools-and-accessories-accessories,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/CPR.JPG,
